 
	SPACE	 

I	ADJ	i

	SPACE	

Le	DET	le
passé	NOUN	passé
envoûte	VERB	envoûte
;	PUNCT	;
le	DET	le
présent	NOUN	présent
exorcise	VERB	exorcise
:	PUNCT	:
l'	DET	le
avenir	NOUN	avenir
est	AUX	être
conforme	ADJ	conforme
aux	ADP	à
deux	PRON	deux
.	PUNCT	.

	SPACE	

Le	DET	le
lac	NOUN	lac
dort	VERB	dormir
encore	ADV	encore
sous	ADP	sous
un	DET	un
voile	NOUN	voile
épais	ADJ	épais
de	ADP	de
vapeurs	NOUN	vapeur
grises	ADJ	gris
;	PUNCT	;
le	DET	le
ciel	NOUN	ciel
,	PUNCT	,
d'	ADP	de
un	DET	un
bleu	NOUN	bleu
froidissant	ADJ	froidissant
,	PUNCT	,
blanchit	VERB	blanchir
comme	ADP	comme
à	ADP	à
un	DET	un
crépuscule	NOUN	crépuscule
.	PUNCT	.
Cette	DET	ce
nature	NOUN	nature
informe	ADJ	informe
,	PUNCT	,
livide	ADJ	livide
et	CCONJ	et
muette	ADJ	muet
,	PUNCT	,
n'	ADV	n'
exprime	VERB	exprime
ni	CCONJ	ni
l'	DET	le
aurore	NOUN	aurore
,	PUNCT	,
ni	CCONJ	ni
le	DET	le
printemps	NOUN	printemps
.	PUNCT	.

	SPACE	

Un	DET	un
oiseau	NOUN	oiseau
crie	VERB	crier
:	PUNCT	:
c'	PRON	ce
est	AUX	être
le	DET	le
premier	ADJ	premier
bruit	NOUN	bruit
.	PUNCT	.
De	ADP	de
la	DET	le
cime	NOUN	cime
d'	ADP	de
un	DET	un
arbre	NOUN	arbre
,	PUNCT	,
il	PRON	il
a	AUX	avoir
vu	VERB	voir
luire	VERB	luire
le	DET	le
soleil	NOUN	soleil
et	CCONJ	et
l'	PRON	l'
annonce	VERB	annoncer
.	PUNCT	.
Dans	ADP	dans
l'	DET	le
eau	NOUN	eau
,	PUNCT	,
des	DET	un
poissons	NOUN	poisson
sautent	VERB	sauter
;	PUNCT	;
un	DET	un
souffle	NOUN	souffle
passe	VERB	passer
à	ADP	à
travers	NOUN	travers
le	DET	le
feuillage	NOUN	feuillage
mouillé	VERB	mouiller
;	PUNCT	;
et	CCONJ	et
des	DET	un
rayons	NOUN	rayon
d'	ADP	de
or	NOUN	or
pâle	ADJ	pâle
,	PUNCT	,
avec	ADP	avec
la	DET	le
rapidité	NOUN	rapidité
de	ADP	de
flèches	NOUN	flèche
héroïques	ADJ	héroïque
,	PUNCT	,
déchirent	VERB	déchirer
la	DET	le
brume	NOUN	brume
dont	PRON	dont
les	DET	le
lambeaux	NOUN	lambeau
traînent	VERB	traîner
,	PUNCT	,
comme	ADP	comme
si	SCONJ	si
les	DET	le
fantômes	NOUN	fantôme
de	ADP	de
la	DET	le
nuit	NOUN	nuit
avaient	AUX	avoir
brusquement	ADV	brusquement
jeté	VERB	jeter
le	DET	le
suaire	NOUN	suaire
qui	PRON	qui
les	PRON	le
vêt	VERB	vêtir
.	PUNCT	.
Miroir	NOUN	miroir
terni	VERB	ternir
par	ADP	par
l'	DET	le
haleine	NOUN	haleine
de	ADP	de
l'	DET	le
ombre	NOUN	ombre
,	PUNCT	,
le	DET	le
lac	NOUN	lac
luit	VERB	luire
,	PUNCT	,
lourd	ADJ	lourd
et	CCONJ	et
plombé	VERB	plomber
:	PUNCT	:
sous	ADP	sous
la	DET	le
lumière	NOUN	lumière
plus	ADV	plus
vive	ADJ	vif
,	PUNCT	,
il	PRON	il
prend	VERB	prendre
l'	DET	le
éclat	NOUN	éclat
de	ADP	de
l'	DET	le
étain	NOUN	étain
neuf	ADJ	neuf
et	CCONJ	et
s'	PRON	se
argente	VERB	argente
aux	ADP	à
remous	NOUN	remous
.	PUNCT	.
Quand	SCONJ	quand
une	DET	un
invisible	ADJ	invisible
main	NOUN	main
a	AUX	avoir
balayé	VERB	balayer
la	DET	le
dernière	ADJ	dernier
buée	NOUN	buée
,	PUNCT	,
l'	DET	le
onde	NOUN	onde
,	PUNCT	,
graduellement	ADV	graduellement
,	PUNCT	,
verdit	VERB	verdir
,	PUNCT	,
puis	CCONJ	puis
apparaît	VERB	apparaître
bleue	ADJ	bleu
,	PUNCT	,
belle	ADJ	bel
,	PUNCT	,
et	CCONJ	et
reflète	VERB	refléter
ses	DET	son
bords	NOUN	bord
.	PUNCT	.

	SPACE	

Colossale	ADJ	colossal
figure	VERB	figure
dans	ADP	dans
ce	DET	ce
paysage	NOUN	paysage
,	PUNCT	,
le	DET	le
palais	NOUN	palais
Visconti	PROPN	Visconti
,	PUNCT	,
magnifique	ADJ	magnifique
de	ADP	de
style	NOUN	style
,	PUNCT	,
étale	VERB	étale
ses	DET	son
proportions	NOUN	proportion
emphatiques	ADJ	emphatique
dans	ADP	dans
la	DET	le
très	ADV	très
fine	ADJ	fin
lumière	NOUN	lumière
aux	ADP	à
pénombres	NOUN	pénombre
violâtres	ADJ	violâtre
.	PUNCT	.

	SPACE	

Les	DET	le
deux	NUM	deux
terrasses	NOUN	terrasse
,	PUNCT	,
aux	ADP	à
lourds	ADJ	lourd
balustres	NOUN	balustre
,	PUNCT	,
forment	VERB	former
un	DET	un
immense	ADJ	immense
piédestal	NOUN	piédestal
à	ADP	à
l'	DET	le
édifice	NOUN	édifice
,	PUNCT	,
qui	PRON	qui
ne	ADV	ne
semble	VERB	semble
pas	ADV	pas
construit	VERB	construire
pour	ADP	pour
l'	DET	le
usage	NOUN	usage
individuel	ADJ	individuel
:	PUNCT	:
on	PRON	on
cherche	VERB	cherche
sur	ADP	sur
le	DET	le
portique	NOUN	portique
le	DET	le
symbole	NOUN	symbole
d'	ADP	de
une	DET	un
idéale	ADJ	idéal
destination	NOUN	destination
:	PUNCT	:
croix	NOUN	croix
religieuse	ADJ	religieux
ou	CCONJ	ou
pennon	NOUN	pennon
royal	ADJ	royal
;	PUNCT	;
car	CCONJ	car
les	DET	le
larges	ADJ	large
rampes	NOUN	rampe
du	ADP	de
palais	NOUN	palais
conduisent	VERB	conduire
à	ADP	à
une	DET	un
colonnade	NOUN	colonnade
de	ADP	de
temple	NOUN	temple
;	PUNCT	;
et	CCONJ	et
l'	DET	le
imagination	NOUN	imagination
suppose	VERB	suppose
aisément	ADV	aisément
des	DET	un
pompes	NOUN	pompe
sacrées	ADJ	sacrer
entre	ADP	entre
les	DET	le
colonnes	NOUN	colonne
,	PUNCT	,
et	CCONJ	et
des	DET	un
hallebardes	NOUN	hallebarde
échelonnées	VERB	échelonner
sonnant	VERB	sonner
sur	ADP	sur
les	DET	le
marches	NOUN	marche
.	PUNCT	.
L'	DET	le
abandon	NOUN	abandon
imprime	VERB	imprime
au	ADP	au
monument	NOUN	monument
un	DET	un
caractère	NOUN	caractère
de	ADP	de
tristesse	NOUN	tristesse
,	PUNCT	,
tandis	ADV	tandis
que	SCONJ	que
les	DET	le
jardins	NOUN	jardin
resplendissent	VERB	resplendir
,	PUNCT	,
prospères	ADJ	prospère
et	CCONJ	et
luxuriants	ADJ	luxuriant
.	PUNCT	.

	SPACE	

Au	ADP	au
bord	NOUN	bord
escarpé	ADJ	escarpé
du	ADP	de
lac	NOUN	lac
,	PUNCT	,
les	DET	le
dalles	NOUN	dalle
disjointes	VERB	disjoindre
et	CCONJ	et
moussues	ADJ	moussu
retiennent	VERB	retenir
à	ADP	à
peine	ADV	peine
l'	DET	le
anneau	NOUN	anneau
rouillé	VERB	rouiller
où	PRON	où
pourrissent	VERB	pourrir
,	PUNCT	,
enchaînées	VERB	enchaîner
et	CCONJ	et
à	ADP	à
demi	ADV	demi
submergées	VERB	submerger
,	PUNCT	,
deux	NUM	deux
barques	NOUN	barque
élégantes	ADJ	élégant
,	PUNCT	,
aux	ADP	à
moulures	NOUN	moulure
dédorées	VERB	dédorer
,	PUNCT	,
jadis	ADV	jadis
luisantes	ADJ	luisant
de	ADP	de
vernis	NOUN	vernis
.	PUNCT	.

	SPACE	

Limace	ADJ	limac
à	ADP	à
la	DET	le
bave	NOUN	bave
verdâtre	ADJ	verdâtre
,	PUNCT	,
l'	DET	le
humidité	NOUN	humidité
a	AUX	avoir
monté	VERB	monter
les	DET	le
degrés	NOUN	degré
et	CCONJ	et
des	DET	un
touffes	NOUN	touffe
d'	ADP	de
herbes	NOUN	herbe
folles	ADJ	fou
se	PRON	se
dressent	VERB	dresser
en	ADP	en
panaches	NOUN	panache
,	PUNCT	,
sur	ADP	sur
la	DET	le
rampe	NOUN	rampe
rompue	VERB	rompre
et	CCONJ	et
tronçonnée	VERB	tronçonner
.	PUNCT	.

	SPACE	

La	DET	le
première	ADJ	premier
terrasse	NOUN	terrasse
à	ADP	à
la	DET	le
balustrade	NOUN	balustrade
de	ADP	de
marbre	NOUN	marbre
est	AUX	être
peuplée	VERB	peupler
de	ADP	de
citronniers	NOUN	citronnier
aux	ADP	à
fruits	NOUN	fruit
d'	ADP	de
or	NOUN	or
pâle	ADJ	pâle
,	PUNCT	,
d'	ADP	de
orangers	NOUN	oranger
aux	ADP	à
boules	NOUN	boule
de	ADP	de
cuivre	NOUN	cuivre
rouge	ADJ	rouge
.	PUNCT	.

	SPACE	

Les	DET	le
gradins	NOUN	gradin
conduisent	VERB	conduire
à	ADP	à
une	DET	un
esplanade	NOUN	esplanade
aux	ADP	à
cyprès	NOUN	cyprès
séculaires	ADJ	séculaire
rangés	VERB	ranger
avec	ADP	avec
une	DET	un
symétrie	NOUN	symétrie
intentionnelle	ADJ	intentionnel
et	CCONJ	et
fatidique	ADJ	fatidique
.	PUNCT	.

	SPACE	

Des	DET	un
statues	NOUN	statue
qui	PRON	qui
,	PUNCT	,
neuves	ADJ	neuf
,	PUNCT	,
seraient	AUX	être
laides	ADJ	laid
,	PUNCT	,
montrent	VERB	montrer
leurs	DET	leur
cous	NOUN	cou
décapités	VERB	décapiter
,	PUNCT	,
leurs	DET	leur
bras	NOUN	bras
sans	ADP	sans
