 
	SPACE	 

I	NOUN	i

	SPACE	

Ancien	ADJ	ancien
premier	ADJ	premier
sujet	NOUN	sujet
de	ADP	de
la	DET	le
danse	NOUN	danse
à	ADP	à
l'	DET	le
Opéra	NOUN	opéra
,	PUNCT	,
et	CCONJ	et
ayant	AUX	avoir
marqué	VERB	marquer
dans	ADP	dans
cette	DET	ce
jolie	ADJ	joli
pléiade	NOUN	pléiade
d'	ADP	de
il	PRON	il
y	PRON	y
a	VERB	avoir
vingt-cinq	NUM	vingt-cinq
ans	NOUN	an
,	PUNCT	,
dont	PRON	dont
plus	ADV	plus
d'	ADP	de
un	DET	un
abonné	NOUN	abonné
d'	ADP	de
alors	ADV	alors
se	PRON	se
rappelle	VERB	rappeler
encore	ADV	encore
l'	DET	le
éclat	NOUN	éclat
,	PUNCT	,
Ida	PROPN	Ida
Reynach	PROPN	Reynach
,	PUNCT	,
devenue	VERB	devenir
femme	NOUN	femme
Bonnard	PROPN	Bonnard
,	PUNCT	,
accomplissait	VERB	accomplir
ce	DET	ce
jour	NOUN	jour
-là	NOUN	-là
ses	DET	son
quarante	NUM	quarante
-	NUM	-
huit	NUM	huit
printemps	NOUN	printemps
.	PUNCT	.
 	SPACE	 
---	PUNCT	---
 	SPACE	 
Age	NOUN	age
déjà	ADV	déjà
mûr	ADJ	mûr
,	PUNCT	,
disons	ADV	disons
-	PRON	-
le	PRON	le
,	PUNCT	,
pour	ADP	pour
une	DET	un
étoile	NOUN	étoile
de	ADP	de
seconde	ADJ	second
grandeur	NOUN	grandeur
que	PRON	que
les	DET	le
hasards	NOUN	hasard
de	ADP	de
sa	DET	son
course	NOUN	course
n'	ADV	n'
avaient	AUX	avoir
point	ADV	point
épargnée	VERB	épargner
.	PUNCT	.

	SPACE	

Fille	NOUN	fille
de	ADP	de
portière	NOUN	portière
,	PUNCT	,
d'	ADP	de
ailleurs	ADV	ailleurs
,	PUNCT	,
et	CCONJ	et
détournée	VERB	détourner
à	ADP	à
vingt-trois	NUM	vingt-trois
ans	NOUN	an
de	ADP	de
son	DET	son
orbite	NOUN	orbite
,	PUNCT	,
en	ADP	en
pleine	ADJ	plein
ascension	NOUN	ascension
,	PUNCT	,
par	ADP	par
une	DET	un
aventure	NOUN	aventure
avec	ADP	avec
un	DET	un
jeune	ADJ	jeune
lord	NOUN	lord
qui	PRON	qui
avait	AUX	avoir
fait	VERB	faire
quelque	DET	quelque
bruit	NOUN	bruit
,	PUNCT	,
elle	PRON	lui
avait	AUX	avoir
,	PUNCT	,
un	DET	un
beau	ADJ	beau
soir	NOUN	soir
,	PUNCT	,
disparu	VERB	disparaître
du	ADP	de
firmament	NOUN	firmament
de	ADP	de
la	DET	le
rue	NOUN	rue
Le	DET	le
Peletier	PROPN	Peletier
,	PUNCT	,
bifurquant	VERB	bifurquer
tout	ADV	tout
à	ADP	à
coup	NOUN	coup
dans	ADP	dans
la	DET	le
voie	NOUN	voie
de	ADP	de
cette	DET	ce
galanterie	NOUN	galanterie
dorée	ADJ	doré
,	PUNCT	,
toute	ADV	toute
particulière	ADJ	particulier
aux	ADP	à
filles	NOUN	fille
de	ADP	de
Terpsychore	PROPN	Terpsychore
,	PUNCT	,
en	ADP	en
ce	DET	ce
sens	NOUN	sens
qu'	SCONJ	que
elles	PRON	lui
l'	PRON	l'
exercent	VERB	exercer
encore	ADV	encore
avec	ADP	avec
un	DET	un
certain	ADJ	certain
ton	NOUN	ton
.	PUNCT	.

	SPACE	

Un	DET	un
enlèvement	NOUN	enlèvement
romanesque	ADJ	romanesque
,	PUNCT	,
quatre	NUM	quatre
années	NOUN	année
de	ADP	de
séjour	NOUN	séjour
en	ADP	en
Italie	PROPN	Italie
,	PUNCT	,
diamants	NOUN	diamant
,	PUNCT	,
chevaux	NOUN	cheval
,	PUNCT	,
voitures	NOUN	voiture
...	PUNCT	...
un	DET	un
train	NOUN	train
de	ADP	de
reine	NOUN	reine
,	PUNCT	,
avec	ADP	avec
palais	NOUN	palais
à	ADP	à
Naples	PROPN	Naples
et	CCONJ	et
villa	NOUN	villa
sur	ADP	sur
le	DET	le
lac	NOUN	lac
de	ADP	de
Côme	PROPN	Côme
...	PUNCT	...
.	PUNCT	.

	SPACE	

Comme	SCONJ	comme
elle	PRON	lui
achevait	VERB	achever
de	ADP	de
laver	VERB	laver
sa	DET	son
vaisselle	NOUN	vaisselle
,	PUNCT	,
tout	ADV	tout
en	ADP	en
regardant	VERB	regarder
de	ADP	de
temps	NOUN	temps
en	ADP	en
temps	NOUN	temps
par	ADP	par
la	DET	le
fenêtre	NOUN	fenêtre
de	ADP	de
sa	DET	son
cuisine	NOUN	cuisine
,	PUNCT	,
au	ADP	au
quatrième	ADJ	quatrième
étage	NOUN	étage
d'	ADP	de
une	DET	un
vieille	ADJ	vieux
maison	NOUN	maison
de	ADP	de
la	DET	le
rue	NOUN	rue
de	ADP	de
Lancry	PROPN	Lancry
,	PUNCT	,
elle	PRON	lui
entendit	VERB	entendre
sonner	VERB	sonner
midi	NOUN	midi
.	PUNCT	.

	SPACE	

--	PUNCT	--
 	SPACE	 
C'	PRON	ce
est	AUX	être
drôle	ADJ	drôle
,	PUNCT	,
M.	NOUN	m.
Bonnard	PROPN	Bonnard
est	AUX	être
en	ADP	en
retard	NOUN	retard
,	PUNCT	,
dit	VERB	dire
-elle	PRON	lui
.	PUNCT	.

	SPACE	

De	ADP	de
la	DET	le
large	ADJ	large
terrine	NOUN	terrine
où	PRON	où
trempaient	VERB	tremper
bravement	ADV	bravement
ses	DET	son
beaux	ADJ	beal
bras	NOUN	bras
,	PUNCT	,
s'	PRON	se
exhalaient	VERB	exhaler
des	DET	un
vapeurs	NOUN	vapeur
d'	ADP	de
eaux	NOUN	eau
grasses	ADJ	gras
qui	PRON	qui
puaient	VERB	puer
le	DET	le
poisson	NOUN	poisson
gâté	VERB	gâter
,	PUNCT	,
et	CCONJ	et
ces	DET	ce
vagues	ADJ	vague
parfums	NOUN	parfum
d'	ADP	de
ordures	NOUN	ordure
indispensables	ADJ	indispensable
aux	ADP	à
études	NOUN	étude
du	ADP	de
vrai	ADJ	vrai
réalisme	NOUN	réalisme
.	PUNCT	.

	SPACE	

Au	ADP	au
pied	NOUN	pied
du	ADP	de
fourneau	NOUN	fourneau
de	ADP	de
faïence	NOUN	faïence
,	PUNCT	,
 	SPACE	 
--	PUNCT	--
 	SPACE	 
n'	ADV	n'
oublions	VERB	oublier
rien	PRON	rien
de	ADP	de
l'	DET	le
enquête	NOUN	enquête
!	PUNCT	!
 	SPACE	 
--	PUNCT	--
 	SPACE	 
des	DET	un
balayures	NOUN	balayure
mêlées	VERB	mêler
 	SPACE	 
:	PUNCT	:
os	NOUN	os
de	ADP	de
charcuterie	NOUN	charcuterie
,	PUNCT	,
pelures	NOUN	pelure
de	ADP	de
pommes	NOUN	pomme
de	ADP	de
terre	NOUN	terre
,	PUNCT	,
de	ADP	de
carottes	NOUN	carotte
et	CCONJ	et
d'	ADP	de
oignons	NOUN	oignon
,	PUNCT	,
arêtes	NOUN	arête
de	ADP	de
merlans	NOUN	merlan
 	SPACE	 
;	PUNCT	;
document	NOUN	document
humain	ADJ	humain
dans	ADP	dans
lequel	PRON	lequel
fouillait	VERB	fouiller
le	DET	le
chat	NOUN	chat
,	PUNCT	,
le	DET	le
museau	NOUN	museau
sale	ADJ	sale
et	CCONJ	et
noirci	VERB	noircir
.	PUNCT	.
 	SPACE	 
--	PUNCT	--
 	SPACE	 
De	ADP	de
ses	DET	son
moustaches	NOUN	moustache
poissées	VERB	poisser
pendaient	VERB	pendre
des	DET	un
gringuenaudes	NOUN	gringuenaude
.	PUNCT	.

	SPACE	

Vêtue	VERB	vêtir
d'	ADP	de
un	DET	un
jupon	NOUN	jupon
de	ADP	de
laine	NOUN	laine
grise	ADJ	gris
,	PUNCT	,
les	DET	le
manches	NOUN	manche
de	ADP	de
son	DET	son
caraco	NOUN	caraco
rouge	ADJ	rouge
relevées	VERB	relever
,	PUNCT	,
tandis	ADV	tandis
qu'	SCONJ	que
elle	PRON	lui
passait	VERB	passer
d'	ADP	de
une	DET	un
main	NOUN	main
preste	ADJ	preste
sa	DET	son
lavette	NOUN	lavette
de	ADP	de
chiffon	NOUN	chiffon
sur	ADP	sur
les	DET	le
plats	NOUN	plat
et	CCONJ	et
les	DET	le
assiettes	NOUN	assiette
qu'	PRON	qu'
elle	PRON	lui
déposait	VERB	déposer
ensuite	ADV	ensuite
sur	ADP	sur
l'	DET	le
égouttoir	NOUN	égouttoir
,	PUNCT	,
Ida	PROPN	Ida
suivait	VERB	suivre
d'	ADP	de
un	DET	un
œil	NOUN	œil
vigilant	ADJ	vigilant
le	DET	le
gratinage	NOUN	gratinage
d'	ADP	de
un	DET	un
miroton	NOUN	miroton
qui	PRON	qui
chantait	VERB	chanter
sur	ADP	sur
le	DET	le
feu	NOUN	feu
.	PUNCT	.

	SPACE	

Allant	VERB	aller
et	CCONJ	et
venant	VERB	venir
autour	ADV	autour
d'	ADP	de
elle	PRON	lui
,	PUNCT	,
une	DET	un
jeune	ADJ	jeune
personne	NOUN	personne
de	ADP	de
dix-sept	NUM	dix-sept
ans	NOUN	an
,	PUNCT	,
la	DET	le
taille	NOUN	taille
bien	ADV	bien
prise	VERB	prendre
dans	ADP	dans
une	DET	un
robe	NOUN	robe
de	ADP	de
jaconas	NOUN	jaconas
couleur	NOUN	couleur
claire	ADJ	clair
,	PUNCT	,
fredonnait	VERB	fredonner
un	DET	un
air	NOUN	air
d'	ADP	de
opérette	NOUN	opérette
.	PUNCT	.

	SPACE	

--	PUNCT	--
 	SPACE	 
Eh	INTJ	Eh
bien	ADV	bien
,	PUNCT	,
Aglaé	PROPN	Aglaé
,	PUNCT	,
dit	VERB	dire
Ida	PROPN	Ida
,	PUNCT	,
est	AUX	être
-ce	PRON	-ce
que	SCONJ	que
tu	PRON	tu
