 
	SPACE	 

I.	NOUN	i.
---	PUNCT	---
LA	DET	le
SOIRÉE	NOUN	soirée
.	PUNCT	.

	SPACE	

En	ADP	en
1849	NUM	1849
,	PUNCT	,
la	DET	le
famille	NOUN	famille
Grandurand	PROPN	Grandurand
occupait	VERB	occuper
,	PUNCT	,
à	ADP	à
Metz	PROPN	Metz
,	PUNCT	,
le	DET	le
premier	ADJ	premier
étage	NOUN	étage
d'	ADP	de
une	DET	un
maison	NOUN	maison
de	ADP	de
la	DET	le
rue	NOUN	rue
des	ADP	de
Bénédictins	NOUN	bénédictin
.	PUNCT	.
Celle	PRON	celui
famille	NOUN	famille
se	PRON	se
composait	VERB	composer
du	ADP	de
major	NOUN	major
Grandurand	PROPN	Grandurand
,	PUNCT	,
en	ADP	en
retraite	NOUN	retraite
depuis	ADP	depuis
deux	NUM	deux
ans	NOUN	an
,	PUNCT	,
de	ADP	de
sa	DET	son
fille	NOUN	fille
unique	ADJ	unique
Clémence	PROPN	Clémence
sortie	VERB	sortir
récemment	ADV	récemment
de	ADP	de
la	DET	le
maison	NOUN	maison
de	ADP	de
Saint-Denis	PROPN	Saint-Denis
,	PUNCT	,
et	CCONJ	et
de	ADP	de
Mme	NOUN	mme
veuve	NOUN	veuve
Quentin	PROPN	Quentin
,	PUNCT	,
tante	NOUN	tante
de	ADP	de
Clémence	PROPN	Clémence
.	PUNCT	.
A	ADP	à
part	ADP	part
les	DET	le
brusqueries	NOUN	brusquerie
de	ADP	de
caractère	NOUN	caractère
du	ADP	de
major	NOUN	major
,	PUNCT	,
ces	DET	ce
trois	NUM	trois
personnes	NOUN	personne
paraissaient	VERB	paraître
unies	ADJ	uni
et	CCONJ	et
heureuses	ADJ	heureux
.	PUNCT	.
Mme	NOUN	mme
Quentin	PROPN	Quentin
,	PUNCT	,
sœur	NOUN	sœur
de	ADP	de
Mme	NOUN	mme
Grandurand	PROPN	Grandurand
,	PUNCT	,
morte	VERB	mourir
il	PRON	il
y	PRON	y
avait	VERB	avoir
dix	NUM	dix
ans	NOUN	an
,	PUNCT	,
faisait	VERB	faire
toutes	ADJ	tout
les	DET	le
concessions	NOUN	concession
désirables	ADJ	désirable
pour	ADP	pour
que	SCONJ	que
la	DET	le
paix	NOUN	paix
régnât	VERB	régner
dans	ADP	dans
le	DET	le
ménage	NOUN	ménage
,	PUNCT	,
et	CCONJ	et
Clémence	PROPN	Clémence
,	PUNCT	,
qui	PRON	qui
comptait	VERB	compter
dix-sept	NUM	dix-sept
ans	NOUN	an
à	ADP	à
peine	NOUN	peine
,	PUNCT	,
était	AUX	être
encore	ADV	encore
sans	ADP	sans
volonté	NOUN	volonté
devant	ADP	devant
son	DET	son
père	NOUN	père
.	PUNCT	.
Le	DET	le
major	NOUN	major
avait	VERB	avoir
donc	ADV	donc
beau	ADJ	beau
jeu	NOUN	jeu
pour	ADP	pour
exhaler	VERB	exhaler
ses	DET	son
accès	NOUN	accès
de	ADP	de
mauvaise	ADJ	mauvais
humeur	NOUN	humeur
et	CCONJ	et
il	PRON	il
fallait	VERB	falloir
bien	ADV	bien
qu'	SCONJ	que
il	PRON	il
s'	PRON	se
apaisât	VERB	apaiser
faute	NOUN	faute
de	ADP	de
contradiction	NOUN	contradiction
.	PUNCT	.
Sous	ADP	sous
ce	DET	ce
rapport	NOUN	rapport
même	ADV	même
,	PUNCT	,
Mme	NOUN	mme
Quentin	PROPN	Quentin
exagérait	VERB	exagérer
peut-être	ADV	peut-être
la	DET	le
prudence	NOUN	prudence
,	PUNCT	,
car	CCONJ	car
il	PRON	il
est	VERB	être
incontestable	ADJ	incontestable
qu'	SCONJ	que
un	DET	un
grain	NOUN	grain
d'	ADP	de
opposition	NOUN	opposition
satisfait	VERB	satisfaire
la	DET	le
colère	NOUN	colère
même	ADV	même
en	ADP	en
lui	PRON	lui
donnant	VERB	donner
un	DET	un
aliment	NOUN	aliment
.	PUNCT	.
Au	ADP	au
fond	NOUN	fond
,	PUNCT	,
les	DET	le
deux	NUM	deux
dames	NOUN	dame
ne	ADV	ne
pouvaient	VERB	pouvoir
absolument	ADV	absolument
rien	PRON	rien
sur	ADP	sur
l'	DET	le
irascibilité	NOUN	irascibilité
du	ADP	de
chef	NOUN	chef
de	ADP	de
famille	NOUN	famille
,	PUNCT	,
laquelle	PRON	lequel
avait	VERB	avoir
sa	DET	son
source	NOUN	source
dans	ADP	dans
des	DET	un
souvenirs	NOUN	souvenir
amers	ADJ	amer
,	PUNCT	,
dans	ADP	dans
les	DET	le
habitudes	NOUN	habitude
impérieuses	ADJ	impérieux
du	ADP	de
commandement	NOUN	commandement
et	CCONJ	et
aussi	ADV	aussi
dans	ADP	dans
ce	DET	ce
sentiment	NOUN	sentiment
de	ADP	de
sourde	ADJ	sourd
irritation	NOUN	irritation
qui	PRON	qui
accompagne	VERB	accompagne
,	PUNCT	,
chez	ADP	chez
les	DET	le
natures	NOUN	nature
violentes	ADJ	violent
,	PUNCT	,
la	DET	le
transition	NOUN	transition
délicate	ADJ	délicat
de	ADP	de
la	DET	le
maturité	NOUN	maturité
à	ADP	à
la	DET	le
vieillesse	NOUN	vieillesse
.	PUNCT	.
Que	PRON	que
faire	VERB	faire
contre	ADP	contre
un	DET	un
emportement	NOUN	emportement
excité	VERB	exciter
par	ADP	par
un	DET	un
prurit	NOUN	prurit
de	ADP	de
goutte	NOUN	goutte
,	PUNCT	,
par	ADP	par
la	DET	le
découverte	NOUN	découverte
d'	ADP	de
une	DET	un
ride	NOUN	ride
nouvelle	ADJ	nouveau
,	PUNCT	,
par	ADP	par
la	DET	le
vue	NOUN	vue
d'	ADP	de
un	DET	un
ancien	ADJ	ancien
camarade	NOUN	camarade
encore	ADV	encore
en	ADP	en
activité	NOUN	activité
de	ADP	de
service	NOUN	service
?	PUNCT	?
...	PUNCT	...

	SPACE	

Le	DET	le
major	NOUN	major
Grandurand	PROPN	Grandurand
avait	AUX	avoir
été	AUX	être
l'	DET	le
une	PRON	un
des	ADP	de
plus	ADV	plus
fines	ADJ	fin
lames	NOUN	lame
de	ADP	de
l'	DET	le
armée	NOUN	armée
.	PUNCT	.
Quelques	DET	quelque
duels	NOUN	duel
éclatants	ADJ	éclatant
lui	PRON	lui
avaient	AUX	avoir
fait	VERB	faire
une	DET	un
réputation	NOUN	réputation
de	ADP	de
bourreau	NOUN	bourreau
des	ADP	de
crânes	NOUN	crâne
,	PUNCT	,
et	CCONJ	et
il	PRON	il
professait	VERB	professer
un	DET	un
mépris	NOUN	mépris
superbe	ADJ	superbe
pour	ADP	pour
une	DET	un
époque	NOUN	époque
qui	PRON	qui
ne	ADV	ne
met	VERB	mettre
flamberge	VERB	flamberge
au	ADP	au
vent	NOUN	vent
que	ADV	que
dans	ADP	dans
les	DET	le
grandes	ADJ	grand
circonstances	NOUN	circonstance
et	CCONJ	et
qui	PRON	qui
envoie	VERB	envoyer
les	DET	le
duellistes	NOUN	duelliste
en	ADP	en
cour	NOUN	cour
d'	ADP	de
assises	NOUN	assise
.	PUNCT	.
La	DET	le
jeunesse	NOUN	jeunesse
actuelle	ADJ	actuel
lui	PRON	lui
paraissait	VERB	paraître
fort	ADV	fort
dégénérée	VERB	dégénérer
,	PUNCT	,
et	CCONJ	et
très	ADV	très
-	ADV	-
souvent	ADV	souvent
il	PRON	il
avait	AUX	avoir
fallu	VERB	falloir
l'	DET	le
intervention	NOUN	intervention
de	ADP	de
ses	DET	son
amis	NOUN	ami
pour	ADP	pour
l'	PRON	l'
empêcher	VERB	empêcher
de	ADP	de
prêcher	VERB	prêcher
d'	ADP	de
exemple	NOUN	exemple
en	ADP	en
continuant	VERB	continuer
,	PUNCT	,
à	ADP	à
cinquante	NUM	cinquante
-	NUM	-
six	NUM	six
ans	NOUN	an
,	PUNCT	,
les	DET	le
exploits	NOUN	exploit
ferrailleurs	NOUN	ferrailleur
de	ADP	de
son	DET	son
jeune	ADJ	jeune
temps	NOUN	temps
.	PUNCT	.
Au	ADP	au
reste	NOUN	reste
,	PUNCT	,
le	DET	le
major	NOUN	major
n'	ADV	n'
était	AUX	être
nullement	ADV	nullement
inaccessible	ADJ	inaccessible
aux	ADP	à
émotions	NOUN	émotion
tendres	ADJ	tendre
,	PUNCT	,
et	CCONJ	et
sa	DET	son
fille	NOUN	fille
était	AUX	être
son	DET	son
dernier	ADJ	dernier
bonheur	NOUN	bonheur
sur	ADP	sur
la	DET	le
terre	NOUN	terre
.	PUNCT	.
Seulement	ADV	seulement
il	PRON	il
exigeait	VERB	exiger
d'	ADP	de
elle	PRON	lui
l'	DET	le
obéissance	NOUN	obéissance
passive	ADJ	passif
qu'	PRON	qu'
il	PRON	il
demandait	VERB	demander
jadis	ADV	jadis
aux	ADP	à
soldats	NOUN	soldat
de	ADP	de
son	DET	son
escadron	NOUN	escadron
,	PUNCT	,
et	CCONJ	et
une	DET	un
observation	NOUN	observation
de	ADP	de
Clémence	PROPN	Clémence
eût	AUX	avoir
paru	VERB	paraître
au	ADP	au
vieux	ADJ	vieux
soldat	NOUN	soldat
un	DET	un
acte	NOUN	acte
coupable	ADJ	coupable
d'	ADP	de
insubordination	NOUN	insubordination
.	PUNCT	.
Il	PRON	il
était	AUX	être
pour	ADP	pour
elle	PRON	lui
un	DET	un
véritable	ADJ	véritable
tyran	NOUN	tyran
domestique	ADJ	domestique
,	PUNCT	,
mais	CCONJ	mais
un	DET	un
tyran	NOUN	tyran
sans	ADP	sans
le	PRON	le
savoir	VERB	savoir
.	PUNCT	.
On	PRON	on
l'	PRON	l'
eut	AUX	avoir
fort	ADV	fort
étonné	VERB	étonner
en	ADP	en
lui	PRON	lui
démontrant	VERB	démontrer
qu'	SCONJ	que
il	PRON	il
outrepassait	VERB	outrepasser
les	DET	le
bornes	NOUN	borne
de	ADP	de
la	DET	le
puissance	NOUN	puissance
paternelle	ADJ	paternel
et	CCONJ	et
que	SCONJ	que
sa	DET	son
