 
	SPACE	 

CHAPITRE	NOUN	chapitre
PREMIER	ADJ	premier
:	PUNCT	:
INTRODUCTION	NOUN	introduction
.	PUNCT	.

	SPACE	

Le	DET	le
8	NUM	8
mai	NOUN	mai
1822	NUM	1822
,	PUNCT	,
une	DET	un
famille	NOUN	famille
honorable	ADJ	honorable
se	PRON	se
trouvait	VERB	trouver
réunie	VERB	réunir
dans	ADP	dans
un	DET	un
petit	ADJ	petit
appartement	NOUN	appartement
situé	VERB	situer
rue	NOUN	rue
Saint	PROPN	Saint
Louis	PROPN	Louis
,	PUNCT	,
au	ADP	au
Marais	PROPN	Marais
.	PUNCT	.
Il	PRON	il
était	AUX	être
environ	ADV	environ
six	NUM	six
heures	NOUN	heure
du	ADP	de
soir	NOUN	soir
.	PUNCT	.
Dans	ADP	dans
une	DET	un
salle	NOUN	salle
à	ADP	à
manger	VERB	manger
,	PUNCT	,
modestement	ADV	modestement
meublée	VERB	meubler
,	PUNCT	,
quatre	NUM	quatre
personnes	NOUN	personne
étaient	AUX	être
assises	VERB	asseoir
autour	ADV	autour
d'	ADP	de
une	DET	un
table	NOUN	table
et	CCONJ	et
venaient	VERB	venir
d'	ADP	de
achever	VERB	achever
le	DET	le
repas	NOUN	repas
accoutumé	VERB	accoutumer
.	PUNCT	.
M.	NOUN	m.
Derville	PROPN	Derville
,	PUNCT	,
sa	DET	son
femme	NOUN	femme
,	PUNCT	,
Elise	PROPN	Elise
,	PUNCT	,
leur	DET	leur
fille	NOUN	fille
unique	ADJ	unique
,	PUNCT	,
et	CCONJ	et
Mme	NOUN	mme
Auberton	PROPN	Auberton
,	PUNCT	,
mère	NOUN	mère
de	ADP	de
Mme	NOUN	mme
Derville	PROPN	Derville
.	PUNCT	.
Ces	DET	ce
quatre	NUM	quatre
personnes	NOUN	personne
étaient	AUX	être
tristes	ADJ	triste
;	PUNCT	;
le	DET	le
dîner	NOUN	dîner
avait	AUX	avoir
été	AUX	être
court	ADJ	court
et	CCONJ	et
silencieux	ADJ	silencieux
.	PUNCT	.
Mme	NOUN	mme
Derville	PROPN	Derville
,	PUNCT	,
pâle	ADJ	pâle
et	CCONJ	et
souffrante	ADJ	souffrant
,	PUNCT	,
n'	ADV	n'
avait	AUX	avoir
pris	VERB	prendre
qu'	ADV	qu'
un	DET	un
verre	NOUN	verre
d'	ADP	de
eau	NOUN	eau
sucrée	ADJ	sucrer
;	PUNCT	;
Elise	PROPN	Elise
avait	VERB	avoir
les	DET	le
yeux	NOUN	oeil
rouges	ADJ	rouge
et	CCONJ	et
gonflés	VERB	gonfler
de	ADP	de
larmes	NOUN	larme
.	PUNCT	.
Faisant	VERB	faire
un	DET	un
effort	NOUN	effort
sur	ADP	sur
elle-même	PRON	lui-même
,	PUNCT	,
elle	PRON	lui
se	PRON	se
leva	VERB	lever
.	PUNCT	.

	SPACE	

–	PUNCT	–
Mon	DET	mon
papa	NOUN	papa
,	PUNCT	,
dit	VERB	dire
-elle	PRON	lui
,	PUNCT	,
permettez	VERB	permettre
-moi	PRON	moi
d'	ADP	de
aller	VERB	aller
maintenant	ADV	maintenant
dans	ADP	dans
ma	DET	mon
chambre	NOUN	chambre
pour	ADP	pour
préparer	VERB	préparer
...	PUNCT	...

	SPACE	

Elle	PRON	lui
ne	ADV	ne
put	VERB	pouvoir
en	PRON	en
dire	VERB	dire
davantage	ADV	davantage
et	CCONJ	et
sortit	VERB	sortir
en	ADP	en
mettant	VERB	mettre
son	DET	son
mouchoir	NOUN	mouchoir
sur	ADP	sur
ses	DET	son
yeux	NOUN	oeil
.	PUNCT	.
La	DET	le
cause	NOUN	cause
de	ADP	de
cette	DET	ce
grande	ADJ	grand
émotion	NOUN	émotion
était	AUX	être
bien	ADV	bien
naturelle	ADJ	naturel
,	PUNCT	,
car	CCONJ	car
la	DET	le
jeune	ADJ	jeune
personne	NOUN	personne
devait	VERB	devoir
partir	VERB	partir
le	DET	le
lendemain	NOUN	lendemain
matin	NOUN	matin
pour	ADP	pour
aller	VERB	aller
à	ADP	à
Tours	PROPN	Tours
.	PUNCT	.
C'	PRON	ce
était	AUX	être
la	DET	le
première	ADJ	premier
fois	NOUN	fois
de	ADP	de
sa	DET	son
vie	NOUN	vie
qu'	SCONJ	que
elle	PRON	lui
s'	PRON	se
éloignait	VERB	éloigner
de	ADP	de
ses	DET	son
parents	NOUN	parent
,	PUNCT	,
et	CCONJ	et
elle	PRON	lui
devait	VERB	devoir
être	VERB	être
longtemps	ADV	longtemps
sans	ADP	sans
les	PRON	le
revoir	VERB	revoir
.	PUNCT	.

	SPACE	

A	ADP	à
peine	ADV	peine
Elise	PROPN	Elise
fut	AUX	être
-elle	PRON	lui
sortie	VERB	sortir
de	ADP	de
l'	DET	le
appartement	NOUN	appartement
que	SCONJ	que
Mme	NOUN	mme
Derville	PROPN	Derville
donna	VERB	donner
un	DET	un
libre	ADJ	libre
cours	NOUN	cours
à	ADP	à
ses	DET	son
larmes	NOUN	larme
,	PUNCT	,
et	CCONJ	et
s'	PRON	se
adressant	VERB	adresser
à	ADP	à
son	DET	son
mari	NOUN	mari
:	PUNCT	:

	SPACE	

–	PUNCT	–
Est-il	PRON	est-il
bien	ADV	bien
possible	ADJ	possible
que	SCONJ	que
tu	PRON	tu
me	PRON	me
sépares	VERB	séparer
ainsi	ADV	ainsi
de	ADP	de
ma	DET	mon
fille	NOUN	fille
?	PUNCT	?
s'	PRON	se
écria	VERB	écrier
-t	PRON	-t
-elle	PRON	lui
avec	ADP	avec
des	DET	un
sanglots	NOUN	sanglot
.	PUNCT	.
Non	ADV	non
,	PUNCT	,
je	PRON	je
ne	ADV	ne
puis	VERB	pouvoir
le	PRON	le
croire	VERB	croire
.	PUNCT	.
Prends	VERB	prendre
pitié	NOUN	pitié
de	ADP	de
ma	DET	mon
douleur	NOUN	douleur
;	PUNCT	;
je	PRON	je
sens	VERB	sentir
que	SCONJ	que
je	PRON	je
ne	ADV	ne
pourrai	VERB	pouvoir
supporter	VERB	supporter
l'	DET	le
absence	NOUN	absence
de	ADP	de
mon	DET	mon
enfant	NOUN	enfant
...	PUNCT	...
Mais	CCONJ	mais
il	PRON	il
en	PRON	en
est	VERB	être
temps	NOUN	temps
encore	ADV	encore
,	PUNCT	,
mon	DET	mon
ami	NOUN	ami
,	PUNCT	,
je	PRON	je
t'	PRON	te
en	PRON	en
conjure	VERB	conjure
,	PUNCT	,
ah	INTJ	ah
!	PUNCT	!
laisse	VERB	laisse
-	PRON	-
la	PRON	le
près	ADV	près
de	ADP	de
moi	PRON	moi
!	PUNCT	!

	SPACE	

M.	NOUN	m.
DERVILLE	PROPN	DERVILLE
.	PUNCT	.
---	PUNCT	---
L'	DET	le
excès	NOUN	excès
de	ADP	de
ton	DET	ton
chagrin	NOUN	chagrin
m'	PRON	me
afflige	VERB	affliger
,	PUNCT	,
beaucoup	ADV	beaucoup
,	PUNCT	,
Augustine	PROPN	Augustine
,	PUNCT	,
d'	ADP	de
autant	ADV	autant
plus	ADV	plus
que	SCONJ	que
je	PRON	je
ne	ADV	ne
puis	VERB	pouvoir
y	PRON	y
remédier	VERB	remédier
;	PUNCT	;
tu	PRON	tu
sais	VERB	savoir
que	SCONJ	que
j'	PRON	je
ai	AUX	avoir
donné	VERB	donner
ma	DET	mon
parole	NOUN	parole
,	PUNCT	,
c'	PRON	ce
est	AUX	être
une	DET	un
affaire	NOUN	affaire
arrangée	VERB	arranger
.	PUNCT	.
Modère	VERB	modérer
-	VERB	-
toi	PRON	toi
,	PUNCT	,
je	PRON	je
t'	PRON	te
en	PRON	en
supplie	VERB	supplier
.	PUNCT	.

	SPACE	

Mme	NOUN	mme
AUBERTON	PROPN	AUBERTON
.	PUNCT	.
---	PUNCT	---
Allons	VERB	aller
,	PUNCT	,
ma	DET	mon
fille	NOUN	fille
,	PUNCT	,
rappelez	VERB	rappeler
votre	DET	votre
courage	NOUN	courage
.	PUNCT	.
Au	ADP	au
lieu	NOUN	lieu
de	ADP	de
vous	PRON	vous
désoler	VERB	désoler
ainsi	ADV	ainsi
,	PUNCT	,
ne	ADV	ne
devriez	VERB	devoir
-vous	PRON	vous
pas	ADV	pas
au	ADP	au
contraire	NOUN	contraire
bénir	VERB	bénir
la	DET	le
Providence	NOUN	providence
?	PUNCT	?
Cet	DET	ce
événement	NOUN	événement
est	AUX	être
vraiment	ADV	vraiment
une	DET	un
faveur	NOUN	faveur
du	ADP	de
ciel	NOUN	ciel
.	PUNCT	.
Notre	DET	notre
chère	ADJ	cher
enfant	NOUN	enfant
,	PUNCT	,
à	ADP	à
l'	DET	le
âge	NOUN	âge
de	ADP	de
dix-neuf	NUM	dix-neuf
ans	NOUN	an
,	PUNCT	,
trouve	VERB	trouve
à	ADP	à
faire	VERB	faire
une	DET	un
éducation	NOUN	éducation
particulière	ADJ	particulier
dans	ADP	dans
une	DET	un
famille	NOUN	famille
opulente	ADJ	opulent
et	CCONJ	et
distinguée	ADJ	distingué
;	PUNCT	;
elle	PRON	lui
aura	VERB	avoir
quinze	DET	quinze
cents	DET	cent
francs	NOUN	franc
d'	ADP	de
appointements	NOUN	appointement
et	CCONJ	et
viendra	VERB	venir
à	ADP	à
Paris	PROPN	Paris
tous	ADJ	tout
les	DET	le
hivers	NOUN	hiver
.	PUNCT	.
N'	ADV	n'
y	PRON	y
a	VERB	avoir
-t	PRON	-t
-il	PRON	il
pas	ADV	pas
là	ADV	là
de	DET	de
quoi	PRON	quoi
se	PRON	se
réjouir	VERB	réjouir
et	CCONJ	et
rendre	VERB	rendre
grâces	NOUN	grâce
à	ADP	à
Dieu	PROPN	Dieu
?	PUNCT	?

	SPACE	

Mme	NOUN	mme
DERVILLE	PROPN	DERVILLE
.	PUNCT	.
---	PUNCT	---
Rendre	VERB	rendre
grâces	NOUN	grâce
à	ADP	à
Dieu	PROPN	Dieu
,	PUNCT	,
sans	ADP	sans
