 
	SPACE	 

Première	ADJ	premier
partie	NOUN	partie

	SPACE	

LA	DET	le
DOUBLE	ADJ	double
VIE	NOUN	vie
D'	ADP	de
ARSÈNE	NOUN	arsène
LUPIN	PROPN	LUPIN

	SPACE	

LE	DET	le
MASSACRE	NOUN	massacre

	SPACE	

–	PUNCT	–
1	NUM	1
–	PUNCT	–

	SPACE	

M.	NOUN	m.
 	SPACE	 
Kesselbach	PROPN	Kesselbach
s'	PRON	se
arrêta	VERB	arrêter
net	ADV	net
au	ADP	au
seuil	NOUN	seuil
du	ADP	de
salon	NOUN	salon
,	PUNCT	,
prit	VERB	prendre
le	DET	le
bras	NOUN	bras
de	ADP	de
son	DET	son
secrétaire	NOUN	secrétaire
,	PUNCT	,
et	CCONJ	et
murmura	VERB	murmurer
d'	ADP	de
une	DET	un
voix	NOUN	voix
inquiète	ADJ	inquiet
 	SPACE	 
:	PUNCT	:

	SPACE	

–	PUNCT	–
 	SPACE	 
Chapman	PROPN	Chapman
,	PUNCT	,
on	PRON	on
a	AUX	avoir
encore	ADV	encore
pénétré	VERB	pénétrer
ici	ADV	ici
.	PUNCT	.

	SPACE	

–	PUNCT	–
 	SPACE	 
Voyons	VERB	voir
,	PUNCT	,
voyons	VERB	voir
,	PUNCT	,
monsieur	NOUN	Monsieur
,	PUNCT	,
protesta	VERB	protester
le	DET	le
secrétaire	NOUN	secrétaire
,	PUNCT	,
vous	PRON	vous
venez	VERB	venir
vous	PRON	vous
-	PRON	-
même	PRON	même
d'	ADP	de
ouvrir	VERB	ouvrir
la	DET	le
porte	NOUN	porte
de	ADP	de
l'	DET	le
antichambre	NOUN	antichambre
,	PUNCT	,
et	CCONJ	et
,	PUNCT	,
pendant	ADP	pendant
que	SCONJ	que
nous	PRON	nous
déjeunions	VERB	déjeuner
au	ADP	au
restaurant	NOUN	restaurant
,	PUNCT	,
la	DET	le
clef	NOUN	clef
n'	ADV	n'
a	AUX	avoir
pas	ADV	pas
quitté	VERB	quitter
votre	DET	votre
poche	NOUN	poche
.	PUNCT	.

	SPACE	

–	PUNCT	–
 	SPACE	 
Chapman	PROPN	Chapman
,	PUNCT	,
on	PRON	on
a	AUX	avoir
encore	ADV	encore
pénétré	VERB	pénétrer
ici	ADV	ici
,	PUNCT	,
répéta	VERB	répéter
M.	NOUN	m.
 	SPACE	 
Kesselbach	PROPN	Kesselbach
.	PUNCT	.
Il	PRON	il
montra	VERB	montrer
un	DET	un
sac	NOUN	sac
de	ADP	de
voyage	NOUN	voyage
qui	PRON	qui
se	PRON	se
trouvait	VERB	trouver
sur	ADP	sur
la	DET	le
cheminée	NOUN	cheminée
.	PUNCT	.

	SPACE	

–	PUNCT	–
 	SPACE	 
Tenez	VERB	tenir
,	PUNCT	,
la	DET	le
preuve	NOUN	preuve
est	AUX	être
faite	VERB	faire
.	PUNCT	.
Ce	DET	ce
sac	NOUN	sac
était	AUX	être
fermé	ADJ	fermé
.	PUNCT	.
Il	PRON	il
ne	ADV	ne
l'	PRON	l'
est	AUX	être
plus	ADV	plus
.	PUNCT	.

	SPACE	

Chapman	PROPN	Chapman
objecta	VERB	objecter
 	SPACE	 
:	PUNCT	:

	SPACE	

–	PUNCT	–
 	SPACE	 
Êtes	AUX	être
-vous	PRON	vous
bien	ADV	bien
sûr	ADJ	sûr
de	ADP	de
l'	PRON	l'
avoir	AUX	avoir
fermé	VERB	fermer
,	PUNCT	,
monsieur	NOUN	Monsieur
 	SPACE	 
?	PUNCT	?
D'	ADP	de
ailleurs	ADV	ailleurs
,	PUNCT	,
ce	DET	ce
sac	NOUN	sac
ne	ADV	ne
contient	VERB	contenir
que	ADV	que
des	DET	un
bibelots	NOUN	bibelot
sans	ADP	sans
valeur	NOUN	valeur
,	PUNCT	,
des	DET	un
objets	NOUN	objet
de	ADP	de
toilette	NOUN	toilette
…	PUNCT	…

	SPACE	

–	PUNCT	–
 	SPACE	 
Il	PRON	il
ne	ADV	ne
contient	VERB	contenir
que	ADV	que
cela	PRON	cela
parce	SCONJ	parce
que	SCONJ	que
j'	PRON	je
en	PRON	en
ai	AUX	avoir
retiré	VERB	retirer
mon	DET	mon
portefeuille	NOUN	portefeuille
avant	ADP	avant
de	ADP	de
sortir	VERB	sortir
,	PUNCT	,
par	ADP	par
précaution	NOUN	précaution
,	PUNCT	,
sans	ADP	sans
quoi	PRON	quoi
…	PUNCT	…
Non	ADV	non
,	PUNCT	,
je	PRON	je
vous	PRON	vous
le	PRON	le
dis	VERB	dire
,	PUNCT	,
Chapman	PROPN	Chapman
,	PUNCT	,
on	PRON	on
a	AUX	avoir
pénétré	VERB	pénétrer
ici	ADV	ici
pendant	ADP	pendant
que	SCONJ	que
nous	PRON	nous
déjeunions	VERB	déjeuner
.	PUNCT	.

	SPACE	

Au	ADP	au
mur	NOUN	mur
,	PUNCT	,
il	PRON	il
y	PRON	y
avait	VERB	avoir
un	DET	un
appareil	NOUN	appareil
téléphonique	ADJ	téléphonique
.	PUNCT	.
Il	PRON	il
décrocha	VERB	décrocher
le	DET	le
récepteur	NOUN	récepteur
.	PUNCT	.

	SPACE	

–	PUNCT	–
 	SPACE	 
Allô	PROPN	Allô
 	SPACE	 
!	PUNCT	!
C'	PRON	ce
est	AUX	être
pour	ADP	pour
M.	NOUN	m.
 	SPACE	 
Kesselbach	PROPN	Kesselbach
,	PUNCT	,
l'	DET	le
appartement	NOUN	appartement
415	NUM	415
.	PUNCT	.
C'	PRON	ce
est	AUX	être
cela	PRON	cela
Mademoiselle	NOUN	mademoiselle
,	PUNCT	,
veuillez	VERB	vouloir
demander	VERB	demander
la	DET	le
Préfecture	NOUN	préfecture
de	ADP	de
police	NOUN	police
,	PUNCT	,
Service	NOUN	service
de	ADP	de
la	DET	le
Sûreté	NOUN	sûreté
…	PUNCT	…
Vous	PRON	vous
n'	ADV	n'
avez	VERB	avoir
pas	ADV	pas
besoin	NOUN	besoin
du	ADP	de
numéro	NOUN	numéro
,	PUNCT	,
n'	ADV	n'
est	VERB	être
-ce	PRON	-ce
pas	ADV	pas
 	SPACE	 
?	PUNCT	?
Bien	ADV	bien
,	PUNCT	,
merci	NOUN	merci
…	PUNCT	…
J'	PRON	je
attends	VERB	attendre
à	ADP	à
l'	DET	le
appareil	NOUN	appareil
.	PUNCT	.

	SPACE	

Une	DET	un
minute	NOUN	minute
après	ADV	après
,	PUNCT	,
il	PRON	il
reprenait	VERB	reprendre
 	SPACE	 
:	PUNCT	:

	SPACE	

–	PUNCT	–
 	SPACE	 
Allô	PROPN	Allô
 	SPACE	 
?	PUNCT	?
allô	NOUN	allö
 	SPACE	 
?	PUNCT	?
Je	PRON	je
voudrais	VERB	vouloir
dire	VERB	dire
quelques	DET	quelque
mots	NOUN	mot
à	ADP	à
M.	NOUN	m.
 	SPACE	 
Lenormand	PROPN	Lenormand
,	PUNCT	,
le	DET	le
chef	NOUN	chef
de	ADP	de
la	DET	le
Sûreté	PROPN	Sûreté
.	PUNCT	.
C'	PRON	ce
est	AUX	être
de	ADP	de
la	DET	le
part	NOUN	part
de	ADP	de
M.	NOUN	m.
 	SPACE	 
Kesselbach	PROPN	Kesselbach
…	PUNCT	…
Allô	PROPN	Allô
 	SPACE	 
?	PUNCT	?
Mais	CCONJ	mais
oui	ADV	oui
,	PUNCT	,
M.	NOUN	m.
 	SPACE	 
le	DET	le
chef	NOUN	chef
de	ADP	de
la	DET	le
Sûreté	PROPN	Sûreté
sait	VERB	savoir
de	ADP	de
quoi	PRON	quoi
il	PRON	il
s'	PRON	se
agit	VERB	agir
.	PUNCT	.
C'	PRON	ce
est	AUX	être
avec	ADP	avec
son	DET	son
autorisation	NOUN	autorisation
que	PRON	que
je	PRON	je
téléphone	VERB	téléphone
…	PUNCT	…
Ah	INTJ	Ah
 	SPACE	 
!	PUNCT	!
il	PRON	il
n'	ADV	n'
est	VERB	être
pas	ADV	pas
là	ADV	là
…	PUNCT	…
À	ADP	à
qui	PRON	qui
ai	AUX	avoir
-je	PRON	je
l'	DET	le
honneur	NOUN	honneur
de	ADP	de
parler	VERB	parler
 	SPACE	 
?	PUNCT	?
M.	NOUN	m.
 	SPACE	 
Gourel	PROPN	Gourel
,	PUNCT	,
inspecteur	NOUN	inspecteur
de	ADP	de
police	NOUN	police
…	PUNCT	…
Mais	CCONJ	mais
il	PRON	il
me	PRON	me
semble	VERB	semble
,	PUNCT	,
monsieur	NOUN	Monsieur
Gourel	PROPN	Gourel
,	PUNCT	,
que	SCONJ	que
vous	PRON	vous
assistiez	VERB	assister
,	PUNCT	,
hier	ADV	hier
,	PUNCT	,
à	ADP	à
mon	DET	mon
entrevue	NOUN	entrevue
avec	ADP	avec
M.	NOUN	m.
 	SPACE	 
Lenormand	PROPN	Lenormand
…	PUNCT	…
Eh	INTJ	Eh
bien	ADV	bien
 	SPACE	 
!	PUNCT	!
monsieur	NOUN	Monsieur
,	PUNCT	,
le	DET	le
même	ADJ	même
fait	NOUN	fait
s'	PRON	se
est	AUX	être
reproduit	VERB	reproduire
aujourd'hui	ADV	aujourd'hui
.	PUNCT	.
On	PRON	on
a	AUX	avoir
pénétré	VERB	pénétrer
dans	ADP	dans
l'	DET	le
appartement	NOUN	appartement
que	PRON	que
j'	PRON	je
occupe	VERB	occupe
.	PUNCT	.
Et	CCONJ	et
si	SCONJ	si
vous	PRON	vous
veniez	VERB	venir
dès	ADP	dès
maintenant	ADV	maintenant
,	PUNCT	,
vous	PRON	vous
pourriez	VERB	pouvoir
peut-être	ADV	peut-être
découvrir	VERB	découvrir
,	PUNCT	,
d'	ADP	de
après	ADP	après
les	DET	le
indices	NOUN	indice
…	PUNCT	…
D'	ADP	de
ici	ADV	ici
une	DET	un
heure	NOUN	heure
ou	CCONJ	ou
deux	PRON	deux
 	SPACE	 
?	PUNCT	?
Parfaitement	ADV	parfaitement
.	PUNCT	.
Vous	PRON	vous
