0TextId year verbs innerVerbs voir:perception regarder:perception sentir:perception apercevoir:perception vouloir:volition oser:volition compter:volition essayer:volition savoir:cognition trouver:cognition croire:cognition entendre:cognition attendre:cognition connaître:cognition devoir:moral falloir:moral espérer:moral valoir:moral refuser:moral accepter:moral engager:moral aimer:affect manquer:affect souffrir:affect craindre:affect
FRA00901_Daudet 1867 1303 174 172 9 4 6 21 8 1 2 25 3 12 13 3 3 7 20 4 0 0 0 0 5 1 0 0
FRA01902_Gaboriau 1869 4024 465 466 8 15 10 47 32 7 10 55 26 35 21 22 36 51 26 12 6 5 0 3 1 5 1 6
FRA00501_Balzac 1853 462 53 48 3 1 0 5 6 1 1 9 5 2 3 1 2 5 2 1 2 0 1 0 2 2 0 0
FRA03302_Rattazzi 1865 803 78 79 4 3 1 11 7 0 0 5 5 3 6 3 1 8 7 0 0 1 0 0 5 1 1 0
FRA07001_Mendes 1892 339 22 28 0 1 0 4 2 0 2 2 4 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1
FRA00602_Boisgobey 1886 1645 227 209 4 5 6 26 12 6 4 22 18 14 13 7 14 12 13 7 7 5 4 8 8 3 0 4
FRA01402_Fleuriot 1874 615 93 64 3 4 2 12 2 1 0 8 4 5 10 1 4 5 10 6 1 2 0 1 2 0 0 0
FRA03201_Blandy 1887 1115 128 116 1 5 3 23 8 1 1 19 14 4 3 5 4 6 10 1 5 1 1 0 1 1 0 1
FRA02602_Malot 1878 1992 303 235 26 10 8 40 18 4 0 23 31 16 16 8 6 27 27 1 0 3 1 4 5 3 4 3
FRA02701_Maupassant 1885 1658 190 157 22 18 9 18 15 0 2 18 21 4 7 6 14 7 12 3 4 0 0 0 3 0 1 2
FRA00101_Adam 1860 346 37 24 3 1 0 2 0 2 0 4 4 1 2 2 0 2 5 0 1 0 0 1 2 0 0 0
FRA00502_Balzac 1852 1209 148 115 4 9 2 12 9 3 3 16 21 6 6 2 16 18 5 1 5 2 4 0 3 1 1 0
FRA00401_Allais 1902 421 57 43 1 0 0 10 5 0 2 6 3 3 2 2 6 3 5 0 1 0 0 5 0 0 0 0
FRA05401_Kock 1849 1595 241 200 14 6 4 48 12 0 1 18 16 18 10 8 19 6 26 8 2 0 3 0 11 2 0 2
FRA00701_Carraud 1852 875 103 118 4 2 1 20 10 0 0 9 12 2 1 3 0 5 11 1 0 0 1 0 3 1 2 1
FRA06801_Vaillant 1861 1009 130 139 3 5 2 17 8 4 0 15 4 13 8 1 7 10 11 2 1 1 0 0 10 1 1 3
FRA02303_Greville 1878 696 90 75 4 1 3 13 4 0 0 11 11 3 2 7 1 6 6 1 3 1 0 0 5 1 5 0
FRA02201_Gouraud 1888 734 107 118 0 3 0 6 5 1 3 17 8 7 3 5 2 4 11 4 1 1 0 2 5 2 2 1
FRA06301_Montepin 1884 2507 324 231 10 8 5 40 9 2 2 34 32 15 16 18 11 22 37 5 1 8 5 3 9 4 3 2
FRA00601_Boisgobey 1881 1434 178 205 3 4 11 12 15 4 1 17 8 9 4 10 13 19 15 5 3 2 5 0 0 7 2 2
FRA04501_Barres 1908 392 46 33 3 4 0 5 2 1 0 0 2 6 0 0 3 2 4 0 1 1 0 0 2 0 0 0
FRA03701_Sand 1872 1695 271 294 8 7 1 27 3 2 1 51 19 16 12 5 15 20 18 1 3 4 0 1 12 2 3 2
FRA04701_Bourget 1919 520 40 44 3 2 0 3 4 0 0 5 6 2 2 0 3 1 0 1 1 0 1 0 3 0 1 1
FRA03401_Reybaud 1855 473 53 58 5 2 6 1 3 0 1 6 6 2 4 4 1 3 0 0 0 0 0 0 0 4 0 0
FRA02401_LeRouge 1904 250 15 13 0 0 0 0 0 1 0 0 4 2 1 1 1 3 0 0 0 1 0 0 0 0 0 0
FRA07201_Montagne 1886 1296 168 124 3 14 5 20 11 5 8 12 23 8 3 11 7 13 4 3 1 4 3 1 9 2 0 2
FRA04801_Corday 1909 515 81 64 0 5 1 21 3 0 1 11 3 1 3 3 3 5 4 1 4 0 0 0 5 0 1 0
FRA01401_Fleuriot 1877 563 56 52 6 1 1 11 5 1 0 5 4 5 1 3 1 1 4 0 1 0 0 0 0 0 1 1
FRA01202_Feval 1857 1433 147 171 4 2 1 26 4 0 3 13 11 8 13 5 7 9 13 0 7 0 0 0 2 0 0 0
FRA03001_Ohnet 1885 1670 150 151 5 7 3 15 13 1 0 19 14 5 11 3 9 11 7 2 4 3 0 3 1 0 2 3
FRA02603_Malot 1888 1632 225 212 8 5 2 35 15 6 2 22 18 19 8 10 14 25 12 2 4 5 2 2 3 3 4 0
FRA02702_Maupassant 1883 1037 93 46 12 17 9 12 13 2 1 5 4 2 8 1 5 1 1 1 0 1 0 1 7 0 0 1
FRA01302_Flaubert 1857 1780 178 167 8 6 11 10 10 3 2 16 18 3 12 5 3 10 12 1 3 1 2 1 12 3 2 0
FRA00102_Adam 1883 437 68 44 4 4 0 4 6 0 2 9 3 2 1 1 3 4 5 0 1 2 0 0 11 1 0 0
